                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 0.0152,                 7.4785,                 1.1921,                0.68386,                0.59249,                0.63234,                0.36973,                0.01611,                 6.7287,                 1.1771,             0.00034709,             0.00034709,             0.00034709
                     54,                0.01564,                 8.4207,                 1.2592,                0.63837,                 0.5864,                0.61291,                0.35437,                0.01608,                  6.934,                 1.1729,             0.00034004,             0.00034004,             0.00034004
                     55,                0.01505,                 7.6696,                    1.2,                0.66731,                0.58958,                0.62808,                0.36929,                0.01588,                 6.8223,                 1.1632,             0.00033298,             0.00033298,             0.00033298
                     56,                0.01616,                 8.6248,                 1.2364,                0.71673,                0.56104,                0.63428,                0.37953,                0.01516,                 6.7393,                 1.1311,             0.00032592,             0.00032592,             0.00032592
                     57,                0.01659,                  8.382,                 1.2475,                0.68592,                0.58998,                0.62535,                0.35478,                0.01679,                 6.9779,                 1.1947,             0.00031887,             0.00031887,             0.00031887
                     58,                0.01528,                  7.423,                 1.2431,                0.68141,                0.58162,                0.63732,                0.38519,                0.01514,                 6.6689,                 1.1381,             0.00031181,             0.00031181,             0.00031181
                     59,                0.01658,                 8.1887,                 1.3132,                0.68892,                0.57574,                0.64056,                0.37764,                0.01554,                 6.7204,                 1.1482,             0.00030476,             0.00030476,             0.00030476
                     60,                0.01583,                 7.9716,                 1.2837,                0.67686,                0.58574,                0.63843,                0.37728,                0.01548,                 6.7326,                 1.1432,              0.0002977,              0.0002977,              0.0002977
                     61,                0.01614,                 7.6845,                 1.2114,                0.70628,                0.58872,                0.64672,                 0.3803,                 0.0162,                 6.6349,                 1.1691,             0.00029065,             0.00029065,             0.00029065
                     62,                0.01594,                 7.6769,                 1.2493,                0.65645,                0.61177,                0.63715,                0.37736,                0.01544,                 6.7545,                 1.1459,             0.00028359,             0.00028359,             0.00028359
                     63,                 0.0157,                 7.3724,                 1.2383,                0.66497,                0.60317,                0.62437,                0.36686,                0.01564,                 6.9744,                  1.162,             0.00027653,             0.00027653,             0.00027653
                     64,                0.01604,                 7.6029,                 1.2005,                0.65901,                0.60422,                0.63652,                0.37212,                0.01567,                 6.7674,                 1.1605,             0.00026948,             0.00026948,             0.00026948
                     65,                0.01552,                 7.4767,                 1.1978,                0.69743,                0.59254,                0.65429,                0.38407,                0.01619,                 6.5215,                 1.1877,             0.00026242,             0.00026242,             0.00026242
                     66,                0.01623,                 8.1393,                 1.2734,                 0.6631,                0.61378,                0.63311,                0.36938,                0.01567,                 6.7738,                  1.164,             0.00025537,             0.00025537,             0.00025537
                     67,                0.01544,                 7.8065,                  1.259,                0.67162,                0.61286,                0.64653,                0.37927,                0.01583,                 6.6612,                 1.1652,             0.00024831,             0.00024831,             0.00024831
                     68,                0.01565,                 7.6268,                 1.2242,                0.64487,                0.59413,                0.63249,                 0.3638,                0.01641,                 7.0158,                 1.1883,             0.00024125,             0.00024125,             0.00024125
                     69,                0.01533,                 7.4427,                 1.2147,                0.69193,                0.57359,                0.63475,                0.36308,                0.01657,                  6.789,                 1.1947,              0.0002342,              0.0002342,              0.0002342
                     70,                0.01559,                 7.5792,                 1.2377,                0.67634,                0.60674,                0.63996,                0.37895,                 0.0155,                 6.6243,                 1.1549,             0.00022714,             0.00022714,             0.00022714
                     71,                0.01582,                 7.3473,                 1.2489,                0.66811,                0.60074,                 0.6336,                0.37101,                0.01582,                 6.7305,                  1.166,             0.00022009,             0.00022009,             0.00022009
                     72,                0.01509,                 7.4646,                 1.2171,                0.64641,                0.62702,                0.64607,                0.38209,                0.01551,                 6.4574,                 1.1541,             0.00021303,             0.00021303,             0.00021303
                     73,                0.01567,                 7.9493,                 1.2772,                0.62134,                0.61067,                0.61688,                0.36486,                0.01551,                 6.8008,                 1.1566,             0.00020597,             0.00020597,             0.00020597
                     74,                 0.0149,                 6.9007,                 1.2072,                0.63676,                0.61168,                 0.6213,                0.36557,                 0.0155,                 6.8336,                 1.1578,             0.00019892,             0.00019892,             0.00019892
                     75,                0.01572,                 7.3276,                 1.2458,                0.63315,                0.60054,                0.61708,                0.36638,                0.01558,                 6.7542,                  1.158,             0.00019186,             0.00019186,             0.00019186
                     76,                0.01513,                 6.9774,                 1.2216,                 0.6796,                0.58107,                0.62211,                0.36757,                0.01551,                 6.7976,                  1.156,             0.00018481,             0.00018481,             0.00018481
                     77,                0.01518,                 7.6168,                  1.222,                0.71146,                0.56602,                0.64042,                0.37708,                0.01572,                  6.581,                 1.1614,             0.00017775,             0.00017775,             0.00017775
                     78,                0.01514,                 7.0151,                 1.2318,                 0.6678,                0.59799,                  0.637,                0.37575,                0.01569,                 6.8008,                 1.1591,             0.00017069,             0.00017069,             0.00017069
                     79,                0.01553,                 7.7719,                  1.226,                0.71014,                 0.5565,                0.63032,                0.36729,                0.01596,                 6.6897,                 1.1654,             0.00016364,             0.00016364,             0.00016364
                     80,                0.01494,                 6.8954,                 1.2079,                0.65564,                0.59687,                0.61958,                0.36927,                0.01576,                 6.8319,                 1.1598,             0.00015658,             0.00015658,             0.00015658
                     81,                0.01527,                  7.375,                 1.2066,                0.66797,                0.59886,                0.63347,                0.37665,                0.01558,                 6.7333,                 1.1506,             0.00014953,             0.00014953,             0.00014953
                     82,                0.01579,                  6.734,                 1.2072,                 0.6697,                0.59291,                0.63334,                0.36554,                 0.0161,                 6.7164,                 1.1671,             0.00014247,             0.00014247,             0.00014247
                     83,                0.01494,                 7.0432,                 1.2027,                0.66336,                 0.5985,                0.63813,                0.37528,                0.01581,                 6.6193,                 1.1632,             0.00013542,             0.00013542,             0.00013542
                     84,                0.01474,                 6.9752,                  1.191,                0.66204,                0.58431,                0.63618,                 0.3807,                0.01541,                 6.5119,                 1.1514,             0.00012836,             0.00012836,             0.00012836
