                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.00729,                 5.0458,                 1.4428,                0.65954,                0.52314,                0.57737,                0.26452,                0.00855,                 4.1828,                 1.4602,             0.00068229,             0.00068229,             0.00068229
                     53,                0.00733,                 4.9674,                 1.4287,                0.65421,                 0.4858,                0.55745,                0.24974,                0.00862,                 4.3086,                 1.4954,             0.00068166,             0.00068166,             0.00068166
                     54,                0.00718,                  5.018,                 1.4192,                0.62432,                 0.5699,                0.59521,                0.28045,                0.00831,                 3.9082,                 1.4619,             0.00068104,             0.00068104,             0.00068104
                     55,                0.00723,                 4.8098,                 1.4563,                 0.6761,                0.55188,                 0.6106,                0.27167,                0.00865,                 4.0112,                 1.4815,             0.00068042,             0.00068042,             0.00068042
                     56,                0.00717,                 4.8031,                 1.4269,                0.58922,                0.55287,                 0.5744,                0.27233,                0.00798,                 4.2755,                 1.4186,              0.0006798,              0.0006798,              0.0006798
                     57,                0.00722,                 4.9162,                 1.4338,                0.59139,                0.56277,                0.60282,                0.28589,                0.00826,                   3.94,                 1.4643,             0.00067918,             0.00067918,             0.00067918
                     58,                0.00744,                  4.866,                 1.4846,                0.67484,                0.52804,                0.58541,                0.26662,                0.00859,                  4.255,                 1.4856,             0.00067856,             0.00067856,             0.00067856
                     59,                0.00731,                 4.7441,                 1.4542,                0.66588,                0.50909,                0.57795,                0.26135,                0.00868,                 4.1331,                 1.5169,             0.00067793,             0.00067793,             0.00067793
                     60,                0.00716,                   4.58,                 1.4285,                0.65547,                0.52056,                0.56078,                0.25466,                0.00881,                 4.1955,                 1.4992,             0.00067731,             0.00067731,             0.00067731
                     61,                0.00739,                  4.829,                 1.4217,                0.67264,                0.51421,                0.57809,                0.25448,                0.00872,                 4.0973,                  1.491,             0.00067669,             0.00067669,             0.00067669
                     62,                0.00717,                 4.8663,                 1.4704,                0.60491,                0.54603,                0.57131,                0.25075,                0.00879,                 4.1754,                 1.4918,             0.00067607,             0.00067607,             0.00067607
                     63,                0.00707,                 4.5491,                 1.4237,                0.68073,                0.49896,                0.56803,                0.24979,                 0.0089,                 4.3493,                 1.5157,             0.00067545,             0.00067545,             0.00067545
                     64,                0.00719,                 4.7824,                 1.4594,                0.62364,                0.53915,                 0.5752,                 0.2514,                0.00874,                 4.2339,                 1.5031,             0.00067482,             0.00067482,             0.00067482
                     65,                0.00716,                 4.8313,                 1.4617,                0.63872,                0.55443,                0.59482,                0.29404,                0.00785,                 4.0663,                 1.3877,              0.0006742,              0.0006742,              0.0006742
                     66,                0.00703,                 4.6118,                 1.4242,                0.65066,                0.53737,                0.58397,                0.26547,                0.00855,                  4.024,                  1.472,             0.00067358,             0.00067358,             0.00067358
                     67,                 0.0074,                 5.0603,                 1.4975,                0.64709,                0.51708,                0.56582,                 0.2571,                0.00862,                 4.0935,                 1.5087,             0.00067296,             0.00067296,             0.00067296
